,Sym,Amount (000)
2014-06-01,APTV,15.7
2014-06-01,ROK,7.1
2014-06-01,PPG,8.4
2014-06-01,LKQ,32.8
2014-06-01,DGX,13.5
2014-06-01,MCK,4.0
2014-06-01,CAH,10.8
2014-06-01,MSI,11.1
2014-06-01,ABT,17.7
2014-06-01,IRM,19.7
2014-06-01,UAL,15.6
2014-06-01,KR,25.6
2014-06-01,DE,7.0
2014-06-01,J,11.0
2014-06-01,NRG,15.0
2014-06-01,FFIV,4.9
2014-06-01,AIZ,8.0
2014-06-01,ANSS,6.4
2014-06-01,BAX,10.6
2014-06-01,NUE,7.8
2014-06-01,CHRW,5.2
2014-06-01,MNST,13.2
2014-06-01,NVR,0.3
2014-06-01,LYB,2.7
2014-06-01,SBAC,2.4
2014-06-01,PTC,6.0
2014-06-01,MSCI,5.1
2014-06-01,CDNS,13.1
2014-06-01,ETN,2.9
2014-06-01,TEL,3.4
2014-06-01,PM,2.4
2014-06-01,ENPH,0.0
2014-09-01,AAPL,2143.6
2014-09-01,IBM,179.1
2014-09-01,GILD,241.5
2014-09-01,INTC,696.0
2014-09-01,JNPR,1013.8
2014-09-01,RTX,332.8
2014-09-01,ADI,410.6
2014-09-01,AXP,224.1
2014-09-01,QCOM,202.1
2014-09-01,MU,430.9
2014-09-01,UPS,149.4
2014-09-01,KO,343.5
2014-09-01,VZ,263.4
2014-09-01,DVN,185.0
2014-09-01,COP,164.1
2014-09-01,OXY,135.5
2014-09-01,XOM,131.4
2014-09-01,CVX,102.8
2014-09-01,PHM,693.5
2014-09-01,KMB,117.0
2014-09-01,GE,76.2
2014-09-01,TXN,233.7
2014-09-01,IPG,554.7
2014-09-01,EOG,102.3
2014-09-01,NEM,431.2
2014-09-01,ORCL,241.2
2014-09-01,AFL,311.4
2014-09-01,JNJ,84.2
2014-09-01,VLO,189.4
2014-09-01,FCX,267.8
2014-09-01,PFE,311.0
2014-09-01,GLW,447.7
2014-09-01,UNH,94.3
2014-09-01,BKNG,6.9
2014-09-01,VRSN,143.9
2014-09-01,CSCO,313.8
2014-09-01,MNST,233.1
2014-09-01,ROST,187.8
2014-09-01,NTAP,159.4
2014-09-01,CTSH,152.9
2014-09-01,NVDA,1480.8
2014-09-01,TJX,227.1
2014-09-01,APA,71.4
2014-09-01,AMAT,303.1
2014-09-01,MMM,45.5
2014-09-01,MET,126.5
2014-09-01,LUV,167.6
2014-09-01,HES,59.9
2014-09-01,LH,54.5
2014-09-01,EBAY,229.4
2014-09-01,MCHP,227.6
2014-09-01,PXD,26.5
2014-09-01,MDLZ,140.8
2014-09-01,MRO,128.2
2014-09-01,BA,36.9
2014-09-01,EMN,58.1
2014-09-01,HD,51.0
2014-09-01,LVS,73.5
2014-09-01,PPG,46.2
2014-09-01,PRU,49.5
2014-09-01,PEP,41.3
2014-09-01,NRG,123.7
2014-09-01,CRM,64.2
2014-09-01,MCK,17.7
2014-09-01,AKAM,57.2
2014-09-01,TSN,83.2
2014-09-01,TROW,39.2
2014-09-01,WY,95.8
2014-09-01,AZO,6.0
2014-09-01,FAST,132.1
2014-09-01,ORLY,19.2
2014-09-01,BDX,26.0
2014-09-01,CI,31.8
2014-09-01,STZ,30.1
2014-09-01,EQT,51.8
2014-09-01,CTRA,78.3
2014-09-01,IP,56.4
2014-09-01,LOW,47.4
2014-09-01,MMC,46.7
2014-09-01,GOOGL,79.8
2014-09-01,URI,20.9
2014-09-01,ACN,28.0
2014-09-01,PH,19.8
2014-09-01,GIS,41.1
2014-09-01,CMI,15.7
2014-09-01,ETN,31.4
2014-09-01,DVA,26.5
2014-09-01,PCAR,33.4
2014-09-01,NUE,33.8
2014-09-01,HSY,19.1
2014-09-01,VTR,24.9
2014-09-01,LNC,32.5
2014-09-01,SO,39.5
2014-09-01,ROK,15.6
2014-09-01,WM,35.4
2014-09-01,MDT,27.0
2014-09-01,SHW,21.6
2014-09-01,HON,17.3
2014-09-01,DOV,23.4
2014-09-01,WDC,15.6
2014-09-01,VFC,23.9
2014-09-01,CL,21.8
2014-09-01,ATVI,67.0
2014-09-01,META,17.6
2014-09-01,EA,37.3
2014-09-01,BAX,34.0
2014-09-01,DAL,36.1
2014-09-01,TRMB,42.5
2014-09-01,RL,7.8
2014-09-01,J,26.0
2014-09-01,TEL,22.3
2014-09-01,HUM,9.3
2014-09-01,MOS,27.0
2014-09-01,APTV,22.9
2014-09-01,KMX,25.3
2014-09-01,TXT,30.9
2014-09-01,COF,13.2
2014-09-01,NEE,45.3
2014-09-01,K,16.7
2014-09-01,RHI,20.1
2014-09-01,PEAK,26.7
2014-09-01,DGX,15.6
2014-09-01,AEP,18.0
2014-09-01,PKG,14.5
2014-09-01,ISRG,17.3
2014-09-01,JBHT,11.5
2014-09-01,IDXX,14.2
2014-09-01,MRK,14.8
2014-09-01,SYK,10.3
2014-09-01,ALK,18.3
2014-09-01,HST,36.6
2014-09-01,VRSK,12.5
2014-09-01,PSA,4.5
2014-09-01,ALB,12.7
2014-09-01,BSX,61.4
2014-09-01,PLD,18.6
2014-09-01,AVY,15.3
2014-09-01,MSFT,14.6
2014-09-01,AVB,4.8
2014-09-01,AIG,12.5
2014-09-01,SWK,7.5
2014-09-01,CB,6.2
2014-09-01,TRV,6.8
2014-09-01,REGN,1.6
2014-09-01,CB,5.4
2014-09-01,BIIB,1.6
2014-09-01,PEG,14.6
2014-09-01,BMY,10.2
2014-09-01,IFF,5.4
2014-09-01,NDAQ,36.0
2014-09-01,ALL,8.1
2014-09-01,SNA,4.1
2014-09-01,XEL,15.9
2014-09-01,EMR,7.2
2014-09-01,STLD,19.8
2014-09-01,AME,8.8
2014-09-01,EIX,7.9
2014-09-01,CE,7.4
2014-09-01,AMT,4.6
2014-09-01,T,15.5
2014-09-01,O,10.3
2014-09-01,PGR,15.9
2014-09-01,RCL,5.9
2014-09-01,MA,5.3
2014-09-01,FLT,2.7
2014-09-01,EXC,15.7
2014-09-01,IVZ,9.6
2014-09-01,SJM,3.8
2014-09-01,LYB,3.4
2014-09-01,DUK,4.8
2014-09-01,WAT,3.6
2014-09-01,HIG,9.3
2014-09-01,KIM,14.6
2014-09-01,EQR,5.0
2014-09-01,CMS,10.3
2014-09-01,BXP,2.5
2014-09-01,VMC,4.8
2014-09-01,FISV,8.7
2014-09-01,AAL,7.6
2014-09-01,HSIC,5.7
2014-09-01,CRL,4.2
2014-09-01,FRT,2.1
2014-09-01,FDX,1.5
2014-09-01,MAS,10.8
2014-09-01,FIS,4.0
2014-09-01,PWR,6.1
2014-09-01,TECH,9.2
2014-09-01,MO,4.5
2014-09-01,MPC,4.8
2014-09-01,ENPH,0.0
2014-12-01,GILD,537.3
2014-12-01,AAPL,1038.0
2014-12-01,MSFT,601.1
2014-12-01,INTC,709.2
2014-12-01,IBM,153.9
2014-12-01,EMN,301.8
2014-12-01,DVN,327.7
2014-12-01,QCOM,193.4
2014-12-01,COP,200.4
2014-12-01,CVX,122.2
2014-12-01,OXY,168.4
2014-12-01,XOM,144.1
2014-12-01,VLO,267.3
2014-12-01,MU,367.9
2014-12-01,GLW,561.4
2014-12-01,GE,84.1
2014-12-01,EOG,134.0
2014-12-01,MCHP,516.2
2014-12-01,LUV,274.9
2014-12-01,WYNN,74.7
2014-12-01,TXN,202.0
2014-12-01,CTSH,204.6
2014-12-01,CNP,453.3
2014-12-01,AZO,16.8
2014-12-01,UNH,100.5
2014-12-01,FCX,431.7
2014-12-01,NEM,529.5
2014-12-01,JNPR,447.6
2014-12-01,URI,88.1
2014-12-01,NRG,315.2
2014-12-01,PHM,395.6
2014-12-01,CAT,92.3
2014-12-01,LOW,121.0
2014-12-01,MET,167.7
2014-12-01,HD,76.6
2014-12-01,SHW,91.5
2014-12-01,VZ,168.3
2014-12-01,LH,70.0
2014-12-01,VRSN,131.7
2014-12-01,ROST,149.6
2014-12-01,IPG,331.7
2014-12-01,NVDA,1374.2
2014-12-01,NTAP,164.1
2014-12-01,JNJ,64.3
2014-12-01,PFE,222.6
2014-12-01,EA,137.3
2014-12-01,WMT,73.4
2014-12-01,NUE,126.5
2014-12-01,CMI,43.0
2014-12-01,SYY,152.9
2014-12-01,APA,93.0
2014-12-01,HES,74.0
2014-12-01,PXD,36.6
2014-12-01,COST,38.3
2014-12-01,CVS,55.4
2014-12-01,BIIB,15.1
2014-12-01,ATVI,250.1
2014-12-01,WY,140.4
2014-12-01,REGN,11.8
2014-12-01,FFIV,37.0
2014-12-01,MRO,167.8
2014-12-01,LRCX,59.6
2014-12-01,TSN,116.8
2014-12-01,MCK,22.3
2014-12-01,ROK,41.6
2014-12-01,PRU,50.9
2014-12-01,ORLY,23.0
2014-12-01,MDLZ,120.5
2014-12-01,GIS,80.3
2014-12-01,ITW,43.5
2014-12-01,ADM,78.7
2014-12-01,BKNG,3.5
2014-12-01,ADI,68.6
2014-12-01,ADBE,52.3
2014-12-01,DVA,50.0
2014-12-01,ISRG,64.2
2014-12-01,TEL,58.8
2014-12-01,CL,53.5
2014-12-01,AFL,120.0
2014-12-01,PCAR,53.8
2014-12-01,TJX,105.7
2014-12-01,ACN,40.1
2014-12-01,DGX,53.1
2014-12-01,AMAT,142.9
2014-12-01,PAYX,74.0
2014-12-01,ELV,27.1
2014-12-01,PGR,121.2
2014-12-01,PH,23.2
2014-12-01,CTRA,100.5
2014-12-01,EMR,48.2
2014-12-01,EQT,69.3
2014-12-01,IP,56.2
2014-12-01,MMC,49.0
2014-12-01,PSX,39.0
2014-12-01,CI,27.0
2014-12-01,CPB,60.8
2014-12-01,AXP,28.5
2014-12-01,MDT,36.6
2014-12-01,WFC,46.9
2014-12-01,LVS,41.3
2014-12-01,FAST,99.8
2014-12-01,RTX,32.1
2014-12-01,JPM,33.7
2014-12-01,TPR,55.5
2014-12-01,ABT,45.0
2014-12-01,CHRW,27.0
2014-12-01,DHR,31.1
2014-12-01,SO,40.0
2014-12-01,MA,22.7
2014-12-01,SWK,20.0
2014-12-01,HSY,18.5
2014-12-01,MOS,41.3
2014-12-01,BAX,46.3
2014-12-01,PEP,19.4
2014-12-01,LNC,31.5
2014-12-01,BAC,95.4
2014-12-01,WBA,22.3
2014-12-01,WDC,15.1
2014-12-01,GOOGL,57.8
2014-12-01,RCL,18.2
2014-12-01,NEE,56.1
2014-12-01,TMO,11.9
2014-12-01,HON,14.6
2014-12-01,BDX,10.0
2014-12-01,ORCL,29.8
2014-12-01,HUM,9.0
2014-12-01,STLD,65.2
2014-12-01,RHI,21.7
2014-12-01,PLD,28.7
2014-12-01,PSA,6.6
2014-12-01,JBHT,14.4
2014-12-01,BSX,89.2
2014-12-01,LKQ,41.6
2014-12-01,MRK,21.5
2014-12-01,HST,49.0
2014-12-01,SYK,11.8
2014-12-01,ECL,10.5
2014-12-01,MSI,15.8
2014-12-01,K,15.4
2014-12-01,AKAM,14.9
2014-12-01,WM,17.2
2014-12-01,AIG,15.2
2014-12-01,ABC,8.8
2014-12-01,CCL,16.3
2014-12-01,FDX,4.1
2014-12-01,C,12.8
2014-12-01,USB,12.8
2014-12-01,CRM,9.4
2014-12-01,PEG,11.4
2014-12-01,PNC,4.9
2014-12-01,AAL,7.6
2014-12-01,CMA,8.0
2014-12-01,TECH,15.9
2014-12-01,NSC,3.3
2014-12-01,MAS,16.0
2014-12-01,CLX,3.3
2014-12-01,ETN,5.0
2014-12-01,CRL,5.2
2014-12-01,CB,2.8
2014-12-01,LLY,4.6
2014-12-01,V,4.8
2014-12-01,EL,3.8
2014-12-01,NDAQ,18.3
2014-12-01,TFC,7.2
2014-12-01,UAL,4.0
2014-12-01,EXPE,3.0
2014-12-01,ALK,4.0
2014-12-01,ZBH,2.1
2014-12-01,SNA,1.7
2014-12-01,NWL,5.7
2014-12-01,IFF,2.1
2014-12-01,PTC,5.7
2014-12-01,FTNT,33.9
2014-12-01,ALB,3.4
2014-12-01,IT,2.5
2014-12-01,CE,3.4
2014-12-01,FIS,3.3
2014-12-01,ANSS,2.5
2014-12-01,LYB,2.5
2014-12-01,RF,13.1
2014-12-01,ON,12.8
2014-12-01,ENPH,0.0
2015-03-01,AAPL,2932.0
2015-03-01,JNJ,268.1
2015-03-01,KO,577.8
2015-03-01,MU,815.0
2015-03-01,IBM,142.3
2015-03-01,MCHP,828.8
2015-03-01,SYY,515.3
2015-03-01,MET,417.9
2015-03-01,VRSN,269.6
2015-03-01,INTC,570.3
2015-03-01,EA,294.6
2015-03-01,EMN,226.5
2015-03-01,XOM,168.9
2015-03-01,LRCX,199.6
2015-03-01,CSCO,503.9
2015-03-01,CVX,131.5
2015-03-01,OXY,187.7
2015-03-01,COP,217.8
2015-03-01,EOG,147.6
2015-03-01,UNH,114.2
2015-03-01,MDT,172.8
2015-03-01,NEM,620.2
2015-03-01,ORLY,60.8
2015-03-01,NVDA,2488.3
2015-03-01,PEP,130.5
2015-03-01,LUV,277.6
2015-03-01,LH,96.5
2015-03-01,SHW,128.1
2015-03-01,MCK,53.3
2015-03-01,TGT,146.6
2015-03-01,DGX,148.1
2015-03-01,JNPR,500.0
2015-03-01,TXN,192.0
2015-03-01,GLW,472.1
2015-03-01,LUMN,305.7
2015-03-01,PRU,123.9
2015-03-01,TSN,256.7
2015-03-01,PSX,118.7
2015-03-01,BIIB,20.4
2015-03-01,HD,75.4
2015-03-01,QCOM,122.6
2015-03-01,SPGI,81.1
2015-03-01,VZ,163.6
2015-03-01,GE,53.3
2015-03-01,ABC,68.6
2015-03-01,AZO,11.2
2015-03-01,PH,63.6
2015-03-01,MOS,157.2
2015-03-01,WMT,87.4
2015-03-01,SO,161.0
2015-03-01,MGM,336.4
2015-03-01,URI,74.2
2015-03-01,DVN,111.1
2015-03-01,GOOGL,235.8
2015-03-01,BA,43.0
2015-03-01,PXD,39.3
2015-03-01,HON,64.6
2015-03-01,UNP,59.1
2015-03-01,ADBE,86.2
2015-03-01,CAH,70.0
2015-03-01,APA,104.2
2015-03-01,LOW,82.6
2015-03-01,FFIV,53.3
2015-03-01,VLO,96.2
2015-03-01,AMAT,256.6
2015-03-01,FCX,299.9
2015-03-01,HES,79.7
2015-03-01,T,219.1
2015-03-01,PEG,127.2
2015-03-01,ACN,55.2
2015-03-01,ETR,66.1
2015-03-01,WDC,54.6
2015-03-01,WY,145.3
2015-03-01,MRO,183.1
2015-03-01,CCI,57.0
2015-03-01,CMG,7.0
2015-03-01,CTSH,72.6
2015-03-01,DVA,55.3
2015-03-01,PCAR,71.0
2015-03-01,NEE,164.7
2015-03-01,DUK,55.8
2015-03-01,NTAP,120.1
2015-03-01,MSFT,100.0
2015-03-01,CLX,36.7
2015-03-01,PAYX,80.1
2015-03-01,AXP,48.4
