,Sym,Amount (000)
2015-09-01,LBTYK,7347.0
2015-09-01,GE,1762.8
2015-09-01,SNY,3905.9
2015-09-01,VRSK,1563.4
2015-09-01,GHC,107.6
2015-09-01,JNJ,327.1
2015-09-01,DNOW,1825.5
2015-09-01,MDLZ,578.0
2015-09-01,LILA,548.7
2015-09-01,LILAK,390.1
2015-09-01,UPS,59.4
2015-09-01,LEE,8.9
2015-09-01,XOM,0.0
2015-09-01,COP,0.0
2015-09-01,NOV,0.0
2015-09-01,MEG,0.0
2015-09-01,AAPL,0.0
2015-09-01,KMI,0.0
2015-09-01,CHTR,0.0
2015-09-01,LUV,0.0
2015-09-01,DAL,0.0
2015-09-01,AAL,0.0
2015-09-01,UAL,0.0
2015-09-01,SIRI,0.0
2015-09-01,BAC,0.0
2015-09-01,SYF,0.0
2015-09-01,TEVA,0.0
2015-09-01,STOR,0.0
2015-09-01,JPM,0.0
2015-09-01,PNC,0.0
2015-09-01,AMZN,0.0
2015-09-01,TRV,0.0
2015-09-01,STNE,0.0
2015-09-01,KR,0.0
2015-09-01,OXY,0.0
2015-09-01,BIIB,0.0
2015-09-01,RH,0.0
2015-09-01,CVX,0.0
2015-09-01,ABBV,0.0
2015-09-01,BMY,0.0
2015-09-01,SNOW,0.0
2015-09-01,MRK,0.0
2015-09-01,AON,0.0
2015-09-01,TMUS,0.0
2015-09-01,MMC,0.0
2015-09-01,ATVI,0.0
2015-09-01,HPQ,0.0
2015-09-01,C,0.0
2015-09-01,PARA,0.0
2015-09-01,CE,0.0
2015-09-01,MCK,0.0
2015-09-01,MKL,0.0
2015-09-01,ALLY,0.0
2015-09-01,FND,0.0
2015-09-01,RPRX,0.0
2015-09-01,FWONA,0.0
2015-09-01,OGN,0.0
2015-09-01,ORCL,0.0
2015-09-01,PFE,0.0
2015-09-01,TSM,0.0
2015-09-01,LPX,0.0
2015-09-01,JEF,0.0
2015-12-01,WFC,479704.3
2015-12-01,KHC,325634.8
2015-12-01,KO,400000.0
2015-12-01,IBM,84761.0
2015-12-01,AXP,151610.7
2015-12-01,PSX,61486.9
2015-12-01,PG,52793.1
2015-12-01,USB,85063.2
2015-12-01,WMT,56185.3
2015-12-01,DVA,38565.6
2015-12-01,MCO,24669.8
2015-12-01,GS,10959.5
2015-12-01,LBRDA,36448.4
2015-12-01,DE,22884.2
2015-12-01,GM,50000.0
2015-12-01,T,61668.1
2015-12-01,VRSN,12985.0
2015-12-01,BK,20112.2
2015-12-01,V,9885.2
2015-12-01,COST,4333.4
2015-12-01,VZ,15000.9
2015-12-01,MTB,5382.0
2015-12-01,AXTA,23324.0
2015-12-01,FWONK,21016.7
2015-12-01,LBTYA,12544.3
2015-12-01,MA,5229.8
2015-12-01,KMI,26533.5
2015-12-01,GL,6353.7
2015-12-01,GE,1762.8
2015-12-01,QSR,8438.2
2015-12-01,LBTYK,7347.0
2015-12-01,SNY,3905.9
2015-12-01,VRSK,1563.4
2015-12-01,GHC,107.6
2015-12-01,JNJ,327.1
2015-12-01,DNOW,1825.5
2015-12-01,MDLZ,578.0
2015-12-01,LILA,548.7
2015-12-01,LILAK,390.1
2015-12-01,UPS,59.4
2015-12-01,LEE,8.9
2015-12-01,XOM,0.0
2015-12-01,COP,0.0
2015-12-01,NOV,0.0
2015-12-01,MEG,0.0
2015-12-01,AAPL,0.0
2015-12-01,CHTR,0.0
2015-12-01,LUV,0.0
2015-12-01,DAL,0.0
2015-12-01,AAL,0.0
2015-12-01,UAL,0.0
2015-12-01,SIRI,0.0
2015-12-01,BAC,0.0
2015-12-01,SYF,0.0
2015-12-01,TEVA,0.0
2015-12-01,STOR,0.0
2015-12-01,JPM,0.0
2015-12-01,PNC,0.0
2015-12-01,AMZN,0.0
2015-12-01,TRV,0.0
2015-12-01,STNE,0.0
2015-12-01,KR,0.0
2015-12-01,OXY,0.0
2015-12-01,BIIB,0.0
2015-12-01,RH,0.0
2015-12-01,CVX,0.0
2015-12-01,ABBV,0.0
2015-12-01,BMY,0.0
2015-12-01,SNOW,0.0
2015-12-01,MRK,0.0
2015-12-01,AON,0.0
2015-12-01,TMUS,0.0
2015-12-01,MMC,0.0
2015-12-01,ATVI,0.0
2015-12-01,HPQ,0.0
2015-12-01,C,0.0
2015-12-01,PARA,0.0
2015-12-01,CE,0.0
2015-12-01,MCK,0.0
2015-12-01,MKL,0.0
2015-12-01,ALLY,0.0
2015-12-01,FND,0.0
2015-12-01,RPRX,0.0
2015-12-01,FWONA,0.0
2015-12-01,OGN,0.0
2015-12-01,ORCL,0.0
2015-12-01,PFE,0.0
2015-12-01,TSM,0.0
2015-12-01,LPX,0.0
2015-12-01,JEF,0.0
2016-03-01,KHC,325634.8
2016-03-01,WFC,479704.3
2016-03-01,KO,400000.0
2016-03-01,IBM,84969.0
2016-03-01,AXP,151610.7
2016-03-01,PSX,75550.7
2016-03-01,WMT,55235.9
2016-03-01,USB,85063.2
2016-03-01,DVA,38565.6
2016-03-01,MCO,24669.8
2016-03-01,LBRDA,35943.2
2016-03-01,DE,23281.0
2016-03-01,GS,10959.5
2016-03-01,GM,50000.0
2016-03-01,VRSN,12985.0
2016-03-01,AAPL,39247.0
2016-03-01,VZ,15000.9
2016-03-01,V,10239.2
2016-03-01,BK,20827.2
2016-03-01,FWONK,27318.8
2016-03-01,COST,4333.4
2016-03-01,AXTA,23324.0
2016-03-01,LBTYA,15577.5
2016-03-01,MTB,5382.0
2016-03-01,KMI,26533.5
2016-03-01,MA,4934.8
2016-03-01,GL,6353.7
2016-03-01,GE,1762.8
2016-03-01,QSR,8438.2
2016-03-01,LBTYK,7347.0
2016-03-01,SNY,3905.9
2016-03-01,VRSK,1563.4
2016-03-01,GHC,107.6
2016-03-01,JNJ,327.1
2016-03-01,DNOW,1825.6
2016-03-01,PG,315.4
2016-03-01,MDLZ,578.0
2016-03-01,LILA,548.7
2016-03-01,LILAK,390.1
2016-03-01,UPS,59.4
2016-03-01,LEE,8.9
2016-03-01,XOM,0.0
2016-03-01,COP,0.0
2016-03-01,NOV,0.0
2016-03-01,MEG,0.0
2016-03-01,CHTR,0.0
2016-03-01,LUV,0.0
2016-03-01,DAL,0.0
2016-03-01,AAL,0.0
2016-03-01,UAL,0.0
2016-03-01,SIRI,0.0
2016-03-01,BAC,0.0
2016-03-01,SYF,0.0
2016-03-01,TEVA,0.0
2016-03-01,STOR,0.0
2016-03-01,JPM,0.0
2016-03-01,PNC,0.0
2016-03-01,AMZN,0.0
2016-03-01,TRV,0.0
2016-03-01,STNE,0.0
2016-03-01,KR,0.0
2016-03-01,OXY,0.0
2016-03-01,BIIB,0.0
2016-03-01,RH,0.0
2016-03-01,CVX,0.0
2016-03-01,ABBV,0.0
2016-03-01,BMY,0.0
2016-03-01,SNOW,0.0
2016-03-01,MRK,0.0
2016-03-01,AON,0.0
2016-03-01,TMUS,0.0
2016-03-01,MMC,0.0
2016-03-01,ATVI,0.0
2016-03-01,HPQ,0.0
2016-03-01,C,0.0
2016-03-01,PARA,0.0
2016-03-01,CE,0.0
2016-03-01,MCK,0.0
2016-03-01,MKL,0.0
2016-03-01,ALLY,0.0
2016-03-01,FND,0.0
2016-03-01,RPRX,0.0
2016-03-01,FWONA,0.0
2016-03-01,OGN,0.0
2016-03-01,T,0.0
