,GS10,GS2,T10Y2YM,BAMLC0A2CAAEY,BAMLC0A4CBBBEY,FEDFUNDS,CORESTICKM159SFRBATL,DPCCRV1Q225SBEA,EXPINF1YR,EXPINF5YR,PCOPPUSDM,POILWTIUSDM,PCOALAUUSDM,PALUMUSDM,PIORECRUSDM,RTWEXBGS,UNRATE,A191RP1Q027SBEA,B075RC1Q027SBEA,China GDP Growth,GOLD
2018-08-01,2.89,2.64,0.25,3.53,4.39,1.91,2.430733,1.5666666666666667,2.12845808,2.07519107,6051.04545454546,67.9273913043478,123.734902597402,2051.51136363636,68.0217391304348,105.6508,3.8,3.7333333333333334,231.69266666666667,6.666666666666667,1201.71
2018-09-01,3.0,2.77,0.23,3.565,4.42,1.95,2.475069,1.7333333333333332,2.41001454,2.10310861,6050.7625,70.1905,122.229107142857,2026.4625,68.8,105.8525,3.7,3.166666666666667,234.43533333333332,6.4,1198.39
2018-10-01,3.15,2.86,0.29,3.6,4.45,2.19,2.419846,1.9,2.21216657,2.11263929,6219.58695652174,70.7530434782609,114.762111801242,2029.85869565217,72.0217391304348,106.5849,3.8,2.6,237.178,6.266666666666667,1215.39
2018-11-01,3.12,2.86,0.26,3.72,4.67,2.2,2.472599,1.7666666666666666,2.16701625,2.09822052,6195.92045454546,56.1881818181818,107.552922077922,1938.51136363636,72.2954545454545,107.7599,3.8,3.0,225.71866666666668,6.133333333333334,1220.65
2018-12-01,2.83,2.68,0.15,3.5900000000000003,4.586666666666667,2.27,2.448984,1.6333333333333333,1.98107002,2.01953345,6075.31578947368,48.9190476190476,106.143609022556,1920.38157894737,68.9047619047619,107.703,3.9,3.4,214.25933333333333,6.0,1250.4
2019-01-01,2.71,2.54,0.17,3.46,4.503333333333333,2.4,2.378344,1.5,1.8039584,1.87267231,5939.10227272727,51.2273913043478,105.401298701298,1853.71590909091,75.2,106.0309,4.0,3.8,202.8,5.866666666666667,1291.75
2019-02-01,2.68,2.5,0.18,3.33,4.42,2.4,2.373979,1.7,1.78943106,1.88227201,6300.4875,54.996,101.357142857143,1862.9875,87.59,106.0951,3.8,4.2,207.16833333333335,5.733333333333333,1320.07
2019-03-01,2.57,2.41,0.16,3.35,4.39,2.41,2.393918,1.9000000000000001,1.37532429,1.570003,6439.46428571429,58.1704761904762,99.6698979591835,1871.21428571429,87.0714285714286,106.5696,3.8,4.6,211.53666666666666,5.6000000000000005,1300.9
2019-04-01,2.53,2.34,0.19,3.14,4.1,2.42,2.410959,2.1,2.0373803,1.69509441,6438.3625,63.8704545454546,88.7646428571427,1845.425,94.5,106.6482,3.6,5.0,215.905,5.866666666666667,1285.91
2019-05-01,2.4,2.21,0.19,3.11,3.98,2.39,2.39962,1.9333333333333333,2.18513987,1.7638552,6017.90476190476,60.74,89.5642857142855,1781.2619047619,101.760869565217,107.4461,3.7,5.0,209.58433333333335,6.133333333333334,1283.7
2019-06-01,2.07,1.81,0.26,2.895,3.775,2.38,2.431727,1.7666666666666668,1.60914045,1.54038275,5882.225,54.666,77.6298214285713,1755.95,109.55,106.8721,3.6,5.0,203.26366666666667,6.4,1359.04
2019-07-01,2.06,1.84,0.22,2.68,3.57,2.4,2.467932,1.6,1.74765616,1.59047749,5941.19565217391,57.3760869565217,77.8458074534159,1796.98913043478,119.586956521739,106.5949,3.7,5.0,196.943,6.266666666666667,1412.89
